Year,Week Reported,County,State,Positive Cases
2010,29,Kern,California,1
2010,32,Kern,California,1
2010,36,Kern,California,1
2010,38,Kern,California,3
2010,39,Kern,California,1
2010,42,Kern,California,4
2010,43,Kern,California,1
2010,44,Kern,California,1
2010,52,Kern,California,1
2010,53,Kern,California,1
2010,43,Kings,California,1
2010,43,Los Angeles,California,1
2010,45,Los Angeles,California,1
2010,47,Los Angeles,California,1
2010,49,Los Angeles,California,1
2010,31,Madera,California,2
2010,33,Madera,California,1
2010,38,Madera,California,2
2010,53,Madera,California,2
2010,42,Merced,California,1
2010,42,Orange,California,1
2010,35,Placer,California,1
2010,37,Placer,California,2
2010,31,Sacramento,California,2
2010,33,Sacramento,California,1
2010,35,Sacramento,California,2
2010,42,Sacramento,California,3
2010,43,Sacramento,California,2
2010,44,Sacramento,California,2
2010,30,San Bernardino,California,1
2010,32,San Bernardino,California,1
2010,43,San Bernardino,California,2
2010,48,San Bernardino,California,1
2010,53,San Francisco,California,1
2010,35,San Joaquin,California,1
2010,36,San Joaquin,California,1
2010,38,San Joaquin,California,1
2010,39,San Joaquin,California,1
2010,41,San Joaquin,California,1
2010,42,San Joaquin,California,1
2010,28,Stanislaus,California,2
2010,29,Stanislaus,California,1
2010,31,Stanislaus,California,1
2010,32,Stanislaus,California,2
2010,33,Stanislaus,California,1
2010,36,Stanislaus,California,1
2010,40,Stanislaus,California,1
2010,42,Stanislaus,California,1
2010,43,Stanislaus,California,1
2010,48,Stanislaus,California,1
2010,31,Tulare,California,1
2010,34,Tulare,California,1
2010,39,Tulare,California,3
2010,41,Tulare,California,1
2010,42,Tulare,California,3
2010,43,Tulare,California,2
2010,48,Tulare,California,1
2011,41,Amador,California,1
2011,35,Butte,California,1
2011,37,Butte,California,1
2011,40,Butte,California,1
2011,39,Contra Costa,California,1
2011,40,Contra Costa,California,1
2011,41,Contra Costa,California,1
2011,38,El Dorado,California,1
2011,31,Fresno,California,2
2011,33,Fresno,California,1
2011,35,Fresno,California,1
2011,37,Fresno,California,1
2011,41,Fresno,California,2
2011,44,Fresno,California,1
2011,45,Fresno,California,1
2011,36,Glenn,California,1
2011,34,Kern,California,1
2011,36,Kern,California,3
2011,37,Kern,California,1
2011,38,Kern,California,4
2011,39,Kern,California,1
2011,40,Kern,California,3
2011,42,Kern,California,1
2011,43,Kern,California,1
2011,44,Kern,California,2
2011,46,Kern,California,1
2011,52,Kings,California,1
2011,32,Los Angeles,California,2
2011,33,Los Angeles,California,1
